video_id,view_count,like_count
FNmlZ263t-Q,27369597.0,2055957.0
RkUH1SP1OgE,26532050.0,1610020.0
B2A46EnTwKg,1682449.0,52276.0
hulGUPPolPM,4578802.0,199978.0
J32IcUyKylw,1207828.0,42409.0
YXMw9f89rWM,2160975.0,74970.0
UhnalQZPOsw,1896412.0,112540.0
3JhLIL9InyY,1018030.0,8155.0
24L5IlgAMGI,406439.0,13212.0
bxb724pg74k,181174.0,1491.0
kvkdvNe7LG4,1940064.0,42256.0
N10t4gt-imc,305932.0,5427.0
scf-tipciPo,,
EQr6oqNsP7c,566218.0,21163.0
_zQz8fq9kIM,203952.0,3966.0
dT3IpvU54NI,998079.0,22936.0
itbCHTk-zz0,4095700.0,188020.0
H-qZM_WJJe8,5562142.0,139419.0
msr2xdrd2OU,1288690.0,33616.0
Q4XghcXKoHg,5700983.0,157178.0
7hWOdZcs-JM,2017577.0,47335.0
zoraGEbn1dM,,
0tpWLtWS5jA,,
aiXIncLKK1M,,
_P86sI8hjho,2525937.0,178857.0
fMaU4ADHq2c,4376666.0,278183.0
QEFNr5gJLSY,3012333.0,31447.0
7unBAxRaZz0,9205911.0,499488.0
eCQd5u6g5XQ,2548562.0,38315.0
xXNiZoCCTTk,1168586.0,31735.0
eHHAxMLxRN4,6658632.0,61005.0
87YPVHb04kQ,6464046.0,46179.0
WyQ5hmFk45I,6913.0,413.0
OM8wVrhMvQ0,14999915.0,527187.0
D6ayGx3alnM,2087934.0,30096.0
L9hFWlrXGOc,8821779.0,430259.0
gUWmseTtuVo,316397.0,16986.0
8KBijMa3MVo,931752.0,42795.0
Pg2aIEcSpAg,16405.0,828.0
O0Cw1SLdxxE,8820629.0,184400.0
2BWgmYHAxs4,493326.0,15868.0
WDKfo8VoVyU,503860.0,34016.0
jl1JfgbigP4,565225.0,12355.0
SITdPatptLY,713195.0,37452.0
SHHbY9Ql49c,169058.0,5487.0
yrjNDsxR37g,939719.0,19723.0
SD4aV-6jepg,124958.0,3599.0
MWlrlKsLhYo,4805610.0,231568.0
iKARXu1PDKQ,,
UZJOoyq3rQ4,160466.0,2891.0
srg_AURG0NI,,
Vz-6ko6Eov0,91584.0,1089.0
9hrbDqVpAuo,6677827.0,313794.0
jkP7mg8v5Ro,509434.0,8229.0
nMIrLRggaKQ,6681355.0,344706.0
1FivCO4Wlnk,1349252.0,19227.0
ei32OG8ufZI,194583.0,11349.0
Ammy8QAqu9M,292730.0,18651.0
rWb3k6bEOXw,393616.0,37973.0
PFrH4hwP8nA,28784.0,1734.0
dAIQdot-6ns,7167084.0,598157.0
SNnhCwmdw-M,1281675.0,105287.0
X8tWN1_m42c,289249.0,6531.0
ztygmWtWCjQ,21135138.0,186029.0
Tv0YUG1cgPY,1294690.0,15854.0
UqVc4TGbcuM,,
l_T7KZEv6L0,5245072.0,235608.0
AUHDbzCVK1E,3042537.0,51670.0
dudUcaDwXss,65466.0,869.0
RXeERYB4GbU,94951.0,945.0
5xYvZhfr0sE,3290568.0,42739.0
W7hG-a25tQQ,350495.0,2994.0
J9ZkorSMMIc,1143548.0,8275.0
A6FiSIOiyhM,640279.0,52871.0
hSOaYwzeGnQ,3608600.0,110744.0
Z7oilSsRVHQ,7627554.0,327197.0
Hz92zkZudVg,1533100.0,22469.0
gCrHPPyodGQ,324326.0,8261.0
IgdilvDQNJw,972136.0,34450.0
r6Zpd6AmBAk,717571.0,27067.0
nF1OrI79oIE,538070.0,29117.0
njG2G-qb-Ak,240417.0,8177.0
-emod_IyuH8,595378.0,9717.0
lHG9sqI-l5M,5120156.0,228456.0
-_Uh8JKMvVg,887846.0,23629.0
Y1urUZygDDM,137727.0,3021.0
FPZGNFLmb90,1676337.0,44605.0
ymD03NnH2QM,5638351.0,236253.0
SwGSGc7FFu0,8296816.0,318313.0
9Bx76EQZIew,395195.0,9295.0
ikxUkVqWc1o,1006856.0,24394.0
WPreBk8nouo,3540222.0,169088.0
lhovHGPrNA8,93740.0,2032.0
aJ0MK43Xuok,5259913.0,378569.0
Wupt4gZGjFA,887482.0,27004.0
t86V-1dmS6k,2800981.0,26125.0
67j5zvTX6Mo,267325.0,5622.0
KsmfAkobXDc,635756.0,41990.0
DThPRNrei54,406738.0,9445.0
3bWUfoU8Izs,986014.0,62668.0
HSkyD7lWxkY,6398710.0,106658.0
ARsVUn64U_4,3969501.0,59764.0
K63T5bW5u7M,3464657.0,112935.0
_Z8_99ZlJZA,5384.0,137.0
9ok2zOu_GTs,1943294.0,69438.0
BA5qEdCglGk,62307.0,1659.0
eJzrWSPn0Ow,427539.0,12758.0
lhq3u5ZjUdU,4798858.0,349376.0
Mj-ID2Og6iA,455498.0,30223.0
3C5mPRM9NwQ,2951605.0,32514.0
Jb1Qm2XsvH8,9800367.0,243662.0
gV2LoFRcebw,482669.0,10960.0
ov5VwZVAnIk,31987.0,673.0
KEqyE4zlUEU,487634.0,20554.0
ijd37jhsg5A,10720573.0,461422.0
1VUvJDR4rbc,148775.0,3062.0
IgcW9oZUm3Q,3883612.0,130255.0
v7k2eM5exLI,26193790.0,1523929.0
60RFIF9y8fY,2552016.0,46646.0
L63Jt6__aGw,9155384.0,152596.0
BkHSfgOOg6k,1566941.0,76397.0
hn3Bo1PXmHU,350058.0,19462.0
UFdvCyKemAw,527199.0,4457.0
ktyEtqsvrXM,10340728.0,399413.0
emxHZ1qzp6Y,11084301.0,95703.0
4fPG6ZGMZy8,444587.0,19874.0
hcEHT7qpSAo,695247.0,13567.0
YXViY1pyfHo,268000.0,7806.0
ovAmwici9nQ,1644795.0,22245.0
-NixBFh1GJk,518100.0,6247.0
AYO-17BDVCw,8430757.0,57032.0
DvDEQgS7hSw,509427.0,29489.0
SYtkPnRK294,3201442.0,118958.0
IZ3pActgUEM,2417401.0,136391.0
F3k3savIjG0,286363.0,3384.0
yQj3AkQ63Eo,1118689.0,64695.0
soyrJqVSRFM,,
VrykxHaj9L8,15872975.0,1072439.0
8H1iy5IR-2I,450044.0,13026.0
zlF8AF2wvWQ,415464.0,10426.0
z4-iJdivtdk,2675157.0,19326.0
Nh6DuYynq7c,4218155.0,110055.0
ZNWnOoUvSMA,2232191.0,15116.0
wg41GeB6QbE,3535518.0,63485.0
xZsTr2tnR80,280867.0,15020.0
r7dMJydKZLQ,3102603.0,35762.0
1OcjRPl6l5c,809795.0,36733.0
BwULDquEK3g,214287.0,16982.0
NHSCt2yjRqk,772495.0,36320.0
fHBUfYRytKE,815935.0,45760.0
fhvUJqVbqUk,421125.0,3423.0
Z7wrxqVyvbg,4226192.0,26169.0
2hFYqGdj5To,9290087.0,605753.0
ZIF5r4Eb9FY,1719692.0,33422.0
5jxA6YQYRj8,675649.0,15109.0
KL8nzJaiqdE,1092566.0,54357.0
vjbBaai9ZA8,30061274.0,550525.0
E7SLvLtdoxg,458546.0,4093.0
wv0xeEKLkQs,582591.0,13014.0
_q8REYMMFoM,325016.0,17375.0
L7KRq3sWI8Y,8226351.0,107806.0
FfRrtKWQHfQ,2160951.0,160435.0
c14MVsSeVho,7266605.0,193218.0
eO2sm6LVZRU,11570133.0,815919.0
5KW0JJsU-5g,1312717.0,19896.0
LteZY98ojT0,808204.0,27261.0
ztQDHSVaPK8,30499.0,773.0
8rkOO1Wn8eY,547586.0,12628.0
CuCd2Mk7yJM,6846665.0,496280.0
1FqyNdgWoO0,594672.0,30565.0
bosCA4Mt01w,1717209.0,106842.0
HyryQdC3WYY,1327687.0,76674.0
e01gLDlx8sE,33177771.0,2207810.0
Rx7_CvzTrpM,196702.0,3317.0
uFjaaJKpdyo,728916.0,13069.0
Z0rMpgMrWfo,743652.0,43710.0
ZFoo2mFZiqI,1446773.0,41432.0
FhD-PJvKfJQ,2231432.0,37099.0
MJ5TWnTO_8Q,963247.0,55813.0
BflAl_n90Ow,2079580.0,48758.0
pMZLExBPp2o,2475975.0,92968.0
e9u1biLUrSQ,381518.0,3078.0
401hZy6Hipw,10970496.0,371650.0
Yp84iVzlA4k,498900.0,20208.0
32dPZ1BRJ9g,247641.0,4324.0
UiTFQy3-3Yw,707870.0,14274.0
5slHwyurtyw,174047.0,4155.0
xAJ5m2MmEjE,30389.0,205.0
fV5NzrTmqZM,9355718.0,197308.0
xD8Hdlu0-II,379696.0,16819.0
dzQoliuqCfE,1858149.0,53801.0
Ml2qYfCnFMY,2124575.0,56772.0
0vkFnBuGNPA,1715368.0,30509.0
nyZla3Lm4iI,886020.0,18525.0
DojiXgVxjYs,2806951.0,138164.0
IxSvNXibPdo,418635.0,20463.0
xnuNE5-_inU,31897.0,2921.0
TWxXXcVQevI,491239.0,7209.0
bDpvpH0OsHc,1455849.0,26918.0
pSCjVNTos8U,127822.0,1004.0
TnXMGeTGIoY,1119003.0,63761.0
t-dgPuArhHM,2391144.0,22744.0
0P-_GnPdxZw,9034436.0,103358.0
t69CVmJxDw0,243757.0,7035.0
Jf90dpfsEII,656581.0,15276.0
syb8KcigkyM,1805000.0,104644.0
vzu9PKB8bLY,242093.0,4320.0
S_3ZQM_vLQo,1550139.0,43901.0
AdGxctcFLOU,3138965.0,77194.0
JmLGDBqOITA,205861.0,9694.0
vOBglm1l88g,23790.0,330.0
NjDfMpjt81Y,803672.0,30330.0
VRJiK-kdDb4,16988803.0,329979.0
AYv40zPNSrg,149428.0,4312.0
qy7sci2az88,15834491.0,256076.0
yZ7E2E2vdIM,6984697.0,324115.0
SVY6KfBv22c,3227907.0,198189.0
