text,updateDt
奇蹟補習社 二千十五,2024-05-25
有村架純 千九百九十三,2024-05-25
"발자국이 지워진 거리 
여기 넘어져 있는 난 
혼자 가네 시간이 
미안해 말도 없이",2024-05-25
"몹시 아프네 세상이란 놈이 준 감기 
덕분에 눌러보는 먼지 쌓인 되감기
넘어진 채 청하는 엇박자의 춤 
겨울이 오면 내쉬자 더 뜨거운 숨",2024-05-25
"눈꽃이 떨어져요 또 조금씩 멀어져요 
보고 싶다 보고 싶다 보고 싶다 보고 싶다 
얼마나 기다려야 또 몇 밤을 더 새워야
널 보게 될까 널 보게 될까 만나게 될까 만나게 될까",2024-05-25
"벚꽃이 피나봐요 이 겨울도 끝이 나요 
보고 싶다 보고 싶다 보고 싶다 보고 싶다 
조금만 기다리면 며칠 밤만 더 새우면
만나러 갈게 만나러 갈게 용서해 줄게 용서해 줄게",2024-05-25
"그래 미웠는데 이제 넌 떠났지만 
단 하루도 너를 잊은 적이 없었지 난
솔직히 보고 싶은데 이만 너를 지울게 
그게 널 원망하기보단 덜 아프니깐",2024-05-25
"보고 싶었어 이렇게 말하니깐 더 보고 싶었어 
너희 사진을 보고 있었어도 보고 싶었어
지금 너무 야속한 시간 나는 우리가 밉다 
이젠 얼굴 단 한 번만 보는 것조차 힘들어진 우리가",2024-05-25
"시린 널 불어내 본다 연기처럼 
이런 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데",2024-05-25
"네가 변한 건지 네가 변한 건지 
아니면 내가 변한 건지 내가 변한 건지
이 순간 흐르는 시간조차 미워 
우리가 변한 건지 뭐 모두가 그런 건지 뭐",2024-05-25
"허공을 떠도는 작은 먼지처럼 
이런 작은 먼지처럼 
날리는 눈이 나라면 
조금 더 빨리 네게 닿을 수 있을 텐데",2024-05-25
"빨간 숲속에서 총알처럼 
하루가 돌아오겠지
아무 일도 없단 듯이 
인생은 계속되고 있잖아",2024-05-25
"이 음악을 빌려 너에게 나 전할게  
사람들은 말해 세상이 다 변했대 
다행히도 우리 사이는 아직 여태 안 변했네 
인생은 계속되고 있잖아 익숙해야 할거야",2024-05-25
"넌 다 깨달았냐 내 가장 소중한 친구야 
따뜻한 아침 돌아올 거야
어떤 어둠도 어떤 계절도 
영원할 순 없으니깐 내가 말했잖아",2024-05-25
"늘 하던 시작과 끝 안녕이란 말로 
오늘과 내일을 또 함께 연결하자고 
멈춰있지만 어둠에 숨지마 빛은 또 떠오린니깐
인생은 계속되고 있잖아 익숙해야 할거야",2024-05-25
"파란 천국에서 화살처럼 
또 하루 더 날아가면
내 모든 전부 진심 내 모든 전부 감정 
인생은 계속되고 있잖아 익숙해야 할거야",2024-05-25
"잠시 두 눈을 감아 
여기 내 손을 잡아 
저 미래로 같이 달아나자
인생은 계속되고 있잖아",2024-05-25
"여긴 온통 겨울 뿐이야 팔월에도 겨울이 와 
마음은 시간을 달려가네 홀로 남은 설국열차
네 손 잡고 지구 반대편까지 가 이 겨울을 끝내고파 
그리움들이 얼마나 눈처럼 내려야 그 봄날이 올까",2024-05-25
"끝이 보이지 않아 
출구가 있긴 할까 
발이 떼지질 않아 않아 
인생은 계속되고 있잖아",2024-05-25
"오늘도 비가 내릴 것 같아 
흠뻑 젖어버렸네 아직도 멈추질 않아
저 먹구름보다 빨리 달려가 
그럼 될 줄 알았는데 나 겨우 사람인가 봐",2024-05-25
"추운 겨울 끝을 지나 
다시 봄날이 올 때까지
꽃들이 피울 때까지 
그 곳에 좀 더 머물러줘 머물러줘",2024-05-25
