title,content,published_on,link,source
SeungRi admitió uno de los ocho cargos por el caso Burning Sun,"Tal y como se había anunciado, el 16 de septiembre se realizó el primer juicio al exartista de YG Entertainment frente al Tribunal Militar. En la audiencia, SeungRi rechazó siete de los ocho cargos por el que es procesado en el caso Burning Sun.
El exidol de BIGBANG actualmente se encuentra cumpliendo con su servicio militar en la Quinta Brigada de Artillería bajo el Quinto Cuerpo del Ejército.
PUEDES VER SeungRi iniciará juicio dentro del Ejército la próxima semana [VIDEO]
La defensa de SeungRi solo admitió haber violado la Ley de Transacciones de Cambio de Divisas.
Los cargos que rechazó el exartista surcoreano son relacionados a haber sido mediador en actos de prostitución con empresarios de Taiwán, Japón y Hong Kong para atraer inversores desde diciembre de 2015 hasta enero de 2016.
Asimismo, la exestrella de K-pop es señalado como una de las cabezas de un chat en KakaoTalk, donde diversas celebridades coreanas compartían fotografías de mujeres desnudas y videos de violaciones (Actos por transgredir la intimidad).
Otros de los cargos es por haber violado las Leyes de Higiene de Alimentos, Castigo Agravado por Delitos Económicos, Malversación de Fondos (desfalco por 528 millones de wones al club Burning Sun y robo de 22 millones de wones al pub Monkey y Museum ) y por reincidencia en juegos de azar.
Cabe mencionar que, Yoo In Suk, segundo al mando en el club Burning Sun, admitió los cargos de prostitución en junio de 2020 frente al Tribunal del Distrito Central de Seúl.
En aquel juicio se esperaba que el exempresario y SeungRi sean procesados juntos, pero debido al enlistamiento del exartista al Ejército, su caso fue trasladado al Tribunal Militar.
La fecha de la segunda audiencia del exmiembro de BIGBANG será anunciado en los próximos días.
SeungRi, últimas noticias:
Newsletter Espectáculos LR
Suscríbete aquí al boletín Espectáculos La República y recibe de lunes a sábado en tu correo electrónico las noticias más resaltantes del entretenimiento nacional e internacional, así como los temas que son tendencia en las redes sociales.",2020-09-16T12:50:03Z,https://larepublica.pe,LaRepública.pe
SeungRi iniciará juicio dentro del Ejército el 16 de septiembre,"El grave caso Burning sun, que envuelve denuncias por prostitución y juegos ilegales, será reabierto contra SeungRi, exmiembro del grupo BIGBANG, desde el Ejército.
El 11 de septiembre se informó que el exidol K-pop, acusado de liderar una organización de lenocinio con inversionistas, comparecerá ante el tribunal militar en el Comando de Operaciones Terrestes en Yongin, provincia de Gyeinggi, Corea del Sur.
Luego de haberse detenido el proceso por casi siete meses, SeungRi deberá presentarse en el primer juicio el próximo 16 de septiembre.
Cuando el acusado y exintegrante de BIGBANG iba a recibir su sentencia se enlistó al Ejército para cumplir con su servicio militar obligatorio, por lo que el 15 de mayo de 2020 el Tribunal del Distrito Central de Seúl transfirió el caso al Tribunal Militar General del Comando del Cuerpo N° 5.
Posterior a este cambio, la autoridad antes mencionada se negó a procesar el caso, por lo que el 23 de junio se transfirió al Tribunal Militar Ordinario del Comando de Operaciones Terrestres. Se desconocen los motivos de los traslados entre entidades.
PUEDES VER Jung Joon Young apela sentencia de prisión por el escándalo sexual en Burning Sun
SeungRi deberá afrontar siete cargos en el caso conocido como Burning sun:
Violaciones a la ley de castigo agravado por ciertos delitos económicos, ley de higiene alimentaria, ley de malversación de fondos a empresas, ley de transacciones de divisas, ley de castigo por actos como la prostitución y apuestas constantes.
SeungRi, últimas noticias:
Newsletter Espectáculos LR
Suscríbete aquí al boletín Espectáculos La República y recibe de lunes a sábado en tu correo electrónico las noticias más resaltantes del entretenimiento nacional e internacional, así como los temas que son tendencia en las redes sociales.",2020-09-11T18:33:44Z,https://larepublica.pe,LaRepública.pe
"Ex-idol, Seungri recebe 9ª acusação, desta vez por instigação especial de violência","Louise Queiroga Tamanho do texto
O ex-membro do grupo de K-pop Big Bang Lee Seung Hyun, mais conhecido como Seungri, recebeu sua 9ª acusação durante a sétima audiência de seu caso realizada nesta quinta-feira, dia 14, no tribunal militar geral do Comando de Operações Terrestres em Yongin, já que seu serviço obrigatório às forças armadas, como determina a legislação sul-coreana a todos os homens, começou em março de 2020.
Dessa vez, a promotoria acrescentou o crime de ""instigação especial de violência"" nos autos do processo. O ex-CEO da Yuri Holdings Yoo In Suk recebeu a mesma acusação, por estar relacionado ao episódio descrito pelos promotores. O Código Penal sul-coreano explica que esse é um delito ""cometido por meio de ameaça de força coletiva ou porte de arma perigosa"".
Seungri começou o serviço obrigatório no Exército em 2020 Foto: Twitter / Reprodução
A acusação é referente a um episódio ocorrido em uma sala privativa de um bar em Gangnam, em Seul, no dia 30 de dezembro de 2015, de acordo com a promotoria. Seungri estaria no local consumindo bebidas alcoólicas com conhecidos quando começou a discutir com um cliente que teria aberto a porta da sala em questão. Ao mesmo tempo, teria iniciado uma discussão com outro cliente.
Seungri teria relatado o caso em um grupo de mensagens no qual Yoo In Suk fazia parte. A promotoria alega que Yoo In Suk teria então ligado para um membro de facção criminosa que ele conhecia. Mais tarde, em um beco, o homem mencionado pelo ex-CEO da Yuri Holdings teria ameaçado as vítimas xingando-as e puxando-as pelos braços para pegar seus telefones.
O advogado de Seungri negou as alegações ​e afirmou que apresentará um documento com os detalhes, informou o jornal ""Sports Kyunghyang"".
O escândalo 'Burning sun'
Seungri já havia sido indiciado por compra de serviços de prostituição, mediação de prostituição, peculato, violação da Lei de Punição Agravada e de Crimes Econômicos Específicos, da Lei de Saneamento de Alimentos, jogo habitual (jogos de azar são crime na Coreia do Sul), da Lei de Transações de Câmbio e da Lei de Casos Especiais Relativos à Punição e de Crimes Sexuais.
Ele admitiu apenas a acusação de ter violado a Lei de Transações de Câmbio.
O cantor deixou o grupo Big Bang no dia 11 de março de 2019 e anunciou seu afastamento da indústria do entretenimento, um dia após o escândalo, que ganhou o nome da boate, de que ele ofereceria serviços de prostituição a investidores estrangeiros no local: ""Burning sun"".
Seungri é suspeito de solicitar prostituição 29 vezes entre setembro de 2015 e janeiro de 2016 para investidores estrangeiros, administrando ilegalmente sua boate como um restaurante, usando fundos do Burning Sun para uso pessoal e jogos habituais no exterior em Las Vegas.",2021-01-14T19:27:54Z,https://extra.globo.com,Extra
Burning sun: Seungri será procesado por el cargo instigación a la agresión,"Luego de que un periodista mencionara a Hyoyeon en el caso Burning sun, los medios coreanos informaron sobre la audiencia a Lee Seung Hyun, verdadero nombre de Seungri, en el fuero del Ejército. En este juicio se determinó adicionar el cargo por instigación a la agresión, además se informó que una pandilla estaría involucrada.
Seungri, prostitucion, burning sun, juicio, sentencia
La mañana del 14 de enero, la séptima audiencia de la Corte General Militar de Comando de Operaciones Terrestres relacionada que viene siguiendo el proceso al ex integrante de BIGBANG por explotación sexual, violación de la Ley de Castigos Agravados, lavado de activos, juegos ilegales, entre otros.
Antes de que empezara el interrogatorio de testigos, se anunció sobre un cargo adicional contra Seungri, se trata de instigación a la agresión.
Seungri, prostitucion, burning sun, juicio, sentencia
De acuerdo a la Fiscalía militar, el dueño de Burning Sun contó sobre un violento accionar en un chat grupal en donde Yoo In Seok y otros se encontraban agregados, y en el cual (relato que Seungri) se encontraba bebiendo con sus conocidos en una sala privada en un pocha (bar-restaurante) en Gangnam el 30 de diciembre de 2015.
Seungri discutió con unos clientes que irrumpieron la sala donde estaba, durante esta contienda, y llamó a su socio.
Yoo In Seok realizó acciones que incluyeron llamar a miembros de una pandilla que conocía, pedirle a las víctimas que fueran a la parte trasera del bar, sacaron sus armas para amenazarlos y le pidieron que les entregaran sus celulares porque aparentemente habían registrado el rostro del exintegrante de BIGBANG.
La defensa de Seungri negó los cargos, se suspendió el juicio y la tercera semana de enero 2021 se informará la nueva fecha de audiencia.
Newsletter Espectáculos LR
Suscríbete aquí al boletín Espectáculos La República y recibe de lunes a sábado en tu correo electrónico las noticias más resaltantes del entretenimiento nacional e internacional, así como los temas que son tendencia en las redes sociales.",2021-01-14T17:33:45Z,https://larepublica.pe,LaRepública.pe
"2021 SMA censura a B.I, T.O.P y Seungri de video de ganadores legendarios","Tras culminar su edición número 30, los Seoul Music Awards reciben críticas negativas de los fans internacionales por censurar los rostros de T.O.P, Seungri y B.I del video de los ganadores legendarios de la premiación.
Los 2021 SMA fueron celebrados la noche del 31 de enero KST, desde Seúl, siguiendo la modalidad virtual para respetar las medidas preventivas contra la COVID-19.
En la edición fueron galardonados 20 actos, distribuidos distintamente en las 16 categorías en disputa. BTS, el conjunto musical más representativo de la escena actual, se llevó a casa la mayoría de preseas (seis en total), incluyendo el grand prize.
Los Seoul Music Awards 2021 fueron celebrados la noche del 31 de enero KST. Foto: High1 SMA
Debido a la preponderancia de la categoría, como es costumbre fue anunciada para el cierre del evento. Pero antes de ser revelado, SMA presentó un video homenaje en honor a los ganadores más legendarios que han tenido hasta la fecha, pasando por los Rookie of the year y daesangs.
iKON recibiendo el ROTY del 2015 y BIGBANG llevándose el gran premio del 2007 fueron mencionados en el sentido recuento, pero los espectadores notaron la censura de B.I, T.O.P y Seungri, cuyos rostros fueron difuminados.
Las valoraciones negativas hacia los Seoul Music Awards resaltaron de manera rápida, con hashtags como #SMAApologizeToHanbin, #SMARespectiKON, #SMARespectBIGBANG, y más.
A través de estos, los admiradores exigen disculpas de la organización por negar la participación de los agraviados en la construcción de la historia del evento K-pop.
Aquí, algunas impresiones difundidas en Twitter.
Impresiones de los fans por censura de artistas en los SMA 2021. Foto: captura pandaholicVIP / Twitter
Impresiones de los fans por censura de artistas en los SMA 2021. Foto: captura iCrazyJa / Twitter
Impresiones de los fans por censura de artistas en los SMA 2021. Foto: captura Twitter
Impresiones de los fans por censura de artistas en los SMA 2021. Foto: captura malibu1939 / Twitter
¿Por qué fueron censurados?
SMA no se ha pronunciado, pero debido a la cultura del rubro se desprende que los miembros fueron censurados por las investigaciones que se abrieron contra ellos.
No obstante, B.I, el exlíder de iKON, fue declarado inocente de presunto intento de adquisición de drogas, mientras que, en un caso similar, se dio por finalizado el juicio y la pena de T.O.P, de BIGBANG.
Por otro lado, la justicia aún no condena a Seungri, el exmaknae de BIGBANG, quien se ha declarado inocente de la mayoría de cargos por los que se le investiga.
B.I, T.O.P y Seungri. Foto: composición LR / YG
Newsletter Espectáculos LR
Suscríbete aquí al boletín Espectáculos La República y recibe de lunes a sábado en tu correo electrónico las noticias más resaltantes del entretenimiento nacional e internacional, así como los temas que son tendencia en las redes sociales.",2021-01-31T19:36:35Z,https://larepublica.pe,LaRepública.pe
K-pop's Seungri charged with deploying gangsters at bar,"South Korean singer Seungri was charged with mobilizing ""special assault"" in connection with an altercation in December 2015 in southern Seoul, local reports said. File Photo by Yonhap
Jan. 15 (UPI) -- A South Korean celebrity who owned a nightclub in Seoul that shuttered after multiple rape incidents was indicted for mobilizing gang members.
Seungri, a former member of boy band Big Bang, was charged with ""special assault,"" the general military court of South Korea's Ground Operations Command said, according to local paper Hankook Ilbo on Friday.
Advertisement
Seungri, 30, whose real name is Lee Seung-hyun, already has been charged with facilitating sex trafficking, embezzling funds from his own nightclub and gambling overseas. South Korean law prohibits citizens from gambling, even when they are abroad.
South Korean military prosecutors said Thursday the defendant conspired with Yoo In-suk, former chief executive of Yuri Holdings Co., to send gang members to attack a customer who had a dispute with Seungri at a bar in Seoul in 2015.
Seungri and Yoo ""displayed force and threatened victims,"" prosecutors said.
The charges that were addressed this week referred to an incident in late December 2015. After an argument erupted between Seungri and another bar customer at the time, Seungri called Yoo to ask for muscle, according to the Chosun Ilbo on Thursday.
Seungri's legal counsel said his client completely denies the allegations and will submit an opinion, according to reports.
Past charges against the defendant, who is currently completing his mandatory military service, relate to rape-and-drugging incidents at Burning Sun, where he served as a board of director and held shares.
The club was shuttered in 2019 after local reports said eyewitnesses saw women being dragged to VIP rooms. Whistleblowers were assaulted by staff when they tried to help, reports said.
Burning Sun opened in 2018 but continued to operate even after victims of sexual assault notified police.
Last year South Korean prosecutors charged a senior officer with the Seoul Metropolitan Police Agency with cover up.
Seungri has denied nearly all charges.",2021-01-15T18:28:00Z,https://www.upi.com,UPI News
Cantor de K-pop suspeito de usar mulheres em prostituição tem prisão pedida,"SÃO PAULO, SP (FOLHAPRESS) – O cantor Lee Seung Hyun, 30, ex-membro do grupo de K-pop Big Bang e conhecido como Seungri, tem sido acusado por nove crimes. Dentre eles, o uso de mulheres sul-coreanas na prostituição. A procuradoria pediu a prisão do artista por cinco anos.
Segundo o site Allkpop, Seungri participou de uma audiência no Tribunal Militar Geral da Coreia do Sul e chorou com as acusações. Dentre elas estão a compra de serviços de prostituição, mediação de prostituição, peculato, instigação especial de violência e violação da Lei de Punição Agravada e de Crimes Econômicos Específicos.
As investigações começaram ainda em 2019. O cantor negou todas as acusações e se disse culpado apenas na que se refere à Lei de Transações de Câmbio. Ele nega veementemente que tenha colocado mulheres na prostituição com investidores financeiros para obtenção de lucro próprio.
A procuradoria também solicitou pagamento de uma multa no valor de US$ 17 mil, equivalente a R$ 85 mil.
Na audiência, Seungri pediu desculpas aos familiares, à agência responsável pela carreira e a quem estiver enfrentando momento difícil por causa dele.
Em 2019, após o estouro do escândalo, o cantor anunciou sua aposentadoria da indústria de entretenimento. O escândalo provocou uma queda de quase 16% nas ações de sua agência.
“Acho que é o momento certo para se aposentar do show business”, disse o cantor na época em sua conta no Instagram, acrescentando que cooperaria com a investigação policial sobre a acusação.
Seungri fez sua estreia como cantor em agosto de 2006 junto com os outros quatro membros do grupo: G-Dragon, T.O.P, Taeyang e Daesung. Ele atraiu muitos fãs em toda a Ásia, especialmente em lugares como Hong Kong, Macau, Cingapura e Taiwan.",2021-07-02T12:44:00Z,https://www.mixvale.com.br,Portal Mix Vale
Südkorea: K-Pop-Star Seungri soll fünf Jahre ins Gefängnis,"keystone-sda.ch 1/4 Seungri, das ehemaliges Mitglied der beliebten K-Pop-Boyband Big Bang. (Archiv)
imago/ZUMA Press 2/4 Die koreanische Boyband Big Bang posiert auf dem roten Teppich der MTV Europe Music Awards 2011.
3/4
imago/Imaginechina 4/4 Seungri feierte mit seiner Boyband seit 2006 grosse Erfolge. Jetzt drohen ihm fünf Jahre Haft.
Dem ehemaligen K-Pop-Star Seungri drohen in Südkorea fünf Jahre Haft. Die südkoreanische Militärstaatsanwaltschaft forderte am Donnerstag Anklage gegen den 30-jährigen Musiker wegen Prostitution, Vertruntreuung von Geldern und illegalem Glückspiel. Zusätzlich sollte das Ex-Mitglied der Boyband Big Bang demnach 15.000 Euro Strafe zahlen.
«Obwohl der Beschuldigte derjenige ist, der am meisten von den Straftaten profitierte, beschuldigt er andere - eine schwere Bestrafung ist erforderlich», zitierten Lokalmedien die Staatsanwaltschaft. Ein Militärgericht ist für den Fall zuständig, weil Seungri, mit bürgerlichen Namen Lee Seung-hyun, sich vergangenes Jahr als Wehrpflichtiger gemeldet hatte.
Illegale Glücksspiele in Las Vegas und Prostitution
Seungri feierte mit seiner Boyband seit 2006 grosse Erfolge und entwickelte sich zu einem erfolgreichen Geschäftsmann. Ihm wird vorgeworfen, in Las Vegas in die Organisation von Glücksspielen verwickelt gewesen zu sein, mit welchen er illegale Transaktionen von Fremdwährungen ermöglichte. Für Interessenten an seinem Geschäft soll er zudem sexuelle Dienstleistungen arrangiert haben. Als der Skandal ihn 2019 einholt, zog er sich aus dem Showbusiness zurück.
Die Untersuchungen zu dem Vorfall führten zu einer Reihe von Anschuldigungen gegen andere Musiker und Mitarbeiter von YG Entertainment, Seungris ehemaliger Agentur und eines der grössten K-Pop-Unternehmen. Der Geschäftsführer der Agentur, Yang Hyun-suk, trat vergangenes Jahr ebenfalls wegen Untersuchungen zu illegalem Glücksspiel zurück.",2021-07-01T14:11:59Z,https://www.blick.ch,BLICK.CH
Corée du Sud: cinq ans de prison requis contre la star déchue de la K-pop Seungri,"Une peine de cinq ans de prison a été requise devant un tribunal militaire à l'encontre de l'ex-star de la K-pop Seungri, dans le cadre d'un scandale sexuel portant notamment sur des faits de prostitution, ont rapporté jeudi des médias sud-coréens.
Le chanteur de 30 ans du boys band BIGBANG a été mis en examen pour avoir fourni des prostituées, détourné des fonds et pour des paris illicites.
Engagé dans l'armée en tant qu'appelé depuis l'an dernier, l'audience s'est déroulée devant un tribunal militaire. Tout Sud-Coréen valide doit servir durant 18 mois avant l'âge de 30 ans, dans un pays confronté à la menace nord-coréenne.
Les procureurs du tribunal militaire ont requis jeudi une peine de cinq ans de prison et une amende de 20 millions de won (15.000 euros) à son encontre.
""L'accusé est celui à qui a le plus profité ce crime, il rejette la responsabilité sur les autres c'est pour cela qu'une sévère peine est nécessaire"", ont estimé les représentants du parquet, selon des médias.
BIGBANG a été l'un des boys band les plus populaires de Corée du Sud.
Seungri est ensuite devenu un riche homme d'affaires prospère, mais le scandale auquel il a été mêlé l'a conduit à se retirer de l'univers du spectacle en 2019.
Seungri, dont le véritable nom est Lee Seung-hyun, est accusé de transactions illégales dans le cadre de paris dans de luxueux casinos de Las Vegas.
Il est aussi soupçonné d'avoir fait appel à des prostituées pour des personnes prêtes à investir dans sa société.
Le scandale a également éclaboussé d'autres musiciens ainsi que des membres d'YG Entertainment, un des plus grand producteurs sud-coréens.
Cela a d'ailleurs entraîné la démission l'an passé de son PDG, Yang Hyun-suk,, qui lui-même fait l'objet d'une enquête pour paris illicites. sh/slb/qan/juf/pz",2021-07-01T10:36:51Z,https://actu.orange.fr,Actu Orange
South Korea prosecutors seek 5 years' jail for former K-pop star Seungri: Reports,"SEOUL: South Korean military prosecutors demanded a five-year prison term for disgraced former K-pop star Seungri over charges stemming from a sex and drug scandal, reports said on Thursday (Jul 1).
The 30-year-old singer from popular boy band BIGBANG has been indicted on accusations including arranging prostitution, embezzlement and illicit gambling.
Advertisement
Advertisement
He enlisted as an army conscript last year, with the military court hearing his trial.
All able-bodied South Korean men are obliged to fulfil around two years of military service to defend the country from nuclear-armed North Korea, with which it remains technically at war.
Military prosecutors on Thursday asked the judge to impose a five-year jail term and a 20 million won (US$18,000) fine.
""Even though the accused is the one who benefited the most from the crime, he is blaming others and severe punishment is needed,"" local reports cited the prosecutors as saying.
Advertisement
Advertisement
BIGBANG enjoyed widespread fame following its 2006 debut, and Seungri went on to become a successful businessman, but the public backlash over the scandal and formal investigations caused him to retire from show business in 2019.
Seungri, whose real name is Lee Seung-hyun, is accused of habitual overseas gambling at luxurious casinos in Las Vegas involving illicit foreign exchange transactions.
He is also suspected of arranging sex services for potential investors in his business.
Advertisement
The investigation into the scandal surrounding him uncovered a spate of allegations against other musicians and personnel at YG Entertainment - Seungri's former agency and one of the biggest K-pop management firms.
It prompted the agency CEO Yang Hyun-suk to step down last year while facing probes of his own into illicit gambling.",2021-07-01T10:27:10Z,https://www.channelnewsasia.com,CNA
