text,updateDt
❤❤❤,2024-05-27
more lana songs please,2024-05-27
hel...heaven,2024-05-27
I like 😁👍 is cool,2024-05-27
Can u do lithuania stay by monika something lol,2024-05-27
MmmmmmmmmmmKiss 😮❤,2024-05-27
Can I ask what coin is in your ring? I am curious,2024-05-27
I love the song and your voice is to perfect for it❤❤,2024-05-27
Please sing  HOPE by xxxtentacion,2024-05-27
The goosebumps on my skin just tells me how I’m in love right now ❤,2024-05-27
What the Frick isn’t that so good like guys come on,2024-05-27
Wow sounds awesome 👌,2024-05-27
Wow❤❤❤❤,2024-05-27
"Gabi, I got blocked by a Instagram page that said drop your favorite artist link, and see if they will respond. I typed I don't want a response, I just want to support my favorite artist. Blocked from all comments till the 1st of next month 😅😅
.
They thought I was advertising 🤔
Or they don't like you?",2024-05-27
can you do mr.saxobeat next?,2024-05-27
❤,2024-05-27
"Them: “How many times did you wat-“
Me: YES 😆🤚",2024-05-26
Did anyone else see like a filter or something?😂😂 maybe I’m going crazy… 😂,2024-05-26
Why does she sound more like Lana Del Ray then Lana Del Ray sounds like Lana Del Ray,2024-05-26
Derija please in Bella chiao🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,2024-05-26
❤❤❤,2024-05-26
It’s a pleasure for my ears,2024-05-26
Stunning❤,2024-05-26
💖Yes🤭✌🏻💫🫶🏽,2024-05-26
Beautiful girl with excellent voice!,2024-05-26
lovee itt,2024-05-26
"If you like this song, you may like my song “Heartbreak In Heaven” 🤍",2024-05-26
Please do more Lana del Rey covers you sound incredible!❤,2024-05-26
One of my fav Lana songs,2024-05-26
😊😊😊love,2024-05-27
"Lana her an müziği insanın içinde hissetirebilen bir kadın,öyle ki hem pop hemde slow müzik yapabiliyor ve ikisindede çok başarılı,onun şarkılarını dinledikçe insan sanki kendisi söylüyormuş gibi hissediyor,en mutlu olduğumuzda bile slow bir şarkısını dinlediğimizde modumuz düşebiliyor, buda Lana'nın işinde ne kadar iyi olduğunun kanıtıdır Lana bir felsefedir,herkes çözemez",2024-05-27
favori kadinlarim ve favori sarki🕶🩰,2024-05-27
senin kliplerin aşırı guzel ya video seçimlerinden coloring ine kadar hersey cook hos/guzel oluyorr cevirlerinde cogu zaman en dogru ceviriler oluyor bu kaliteni hic bozma lutfen 🙏🏻 ❤️‍🩹,2024-05-27
harika,2024-05-27
"Eylül Westwick, You're the best! I just had to subscribe!",2024-05-26
mezun senesi yordu ya eylulum,2024-05-26
hemencecik mat çalışmaya ara verildi,2024-05-26
müq,2024-05-26
"baby, she's not me 💋",2024-05-26
her şeyiyle harika ✨️🩶,2024-05-26
Red velvet ile video yaparmısın,2024-05-26
Mükemmel🎉🎉🎉,2024-05-26
Lana'nın sesi aşırı güzel. Çeviri için teşekkürler❤,2024-05-26
İlkk askm video mükemmel,2024-05-26
mükemmel çeviri teşekkürler ❤❤🎉,2024-05-26
GYUU WHAT ARE YOU DOING HERE!?,2024-05-26
💜❤️‍🔥🥰👸,2024-05-27
"La sfârșitul clipului tremura fața 
....are filtru...",2024-05-27
Dedicație pentru Jim,2024-05-27
𝑻𝒆 𝒊𝒖𝒃𝒆𝒔𝒄❤❤,2024-05-27
"Ce voce ai Andreea ai o voce de aur
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎤❤❤❤❤❤❤❤❤❤",2024-05-27
"😂😂😂😂😂😂😂😂😂nici acum nu renunti la filtru ...vezi ca se vede la dunga fetei spre bărbie cum se bruiază filtrul pus😂😂😂😂😂😂😂😂măcar daca te vezi asa ""cea mai frumoasa și populara fata""macar cu adevărată ta fata sa fii adevărată dacă nu ai un caracter adevarat😊",2024-05-27
Andreea Bostanica a rămas o fată la fel de frumoasă. ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤👍,2024-05-27
😂😂,2024-05-27
Iuliana cântă mai bine de cât ține.,2024-05-27
Doamne ce cringe este 😢,2024-05-27
te tradeaza putin filtrul..,2024-05-27
Lăudăroaso,2024-05-27
😚🫠😙🫠😚😚😉😚😚😉😚🥰😍😍😍😍😋😋😋😋 Are you vent to musical no entry nico,2024-05-27
Vocea o rămas în Dubai,2024-05-27
Cf tu ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉Din Nicoleta ❤,2024-05-27
Mi ai facut ziua mai buna❤❤❤,2024-05-27
"Ce ai vrut sa faci ca nu am inteles?Sa i pacalesti pe copiii mai mici care cred ca asta e vocea ta ca sa se aboneze inapoi la tine crezand ca tu chiar muncesti pentru comunitatea ta 
SAU reclama la foame 😂
Cred ca a doua varianta pt ca nu cred eu ca ti pasa asa mult de,, fanii"" tai",2024-05-27
Te ador te iubesc sunt fp pt tine de 7 ani te iubesc voce de aur meriți locul 1,2024-05-27
😂😂😂ca cantereata nu am ce zice dar ești prea aroganta,2024-05-26
Ai o voce minunată ești superbă te iubesc❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤❤😊❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤❤😊❤😊😊❤😊❤😊❤❤️❤️❤️🥰❤️❤️❤️🥰🥰🥰🥰❤️🥰❤️🥰🥰❤️🥰❤️🥰❤️🥰🥰🥰❤️🥰🥰❤️🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤️🥰🥰🥰🥰🥰🥰🥰❤️🥰❤️🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤️🥰🥰🥰🥰🥰🥰🥰😊😊😊😊😊😊😊😊❤️😊❤️😊❤️😊❤️❤️😊❤️❤️😊❤️😊❤️😊❤️😊😊❤️😊❤️🥰😊🥰😊🥰😊🥰😊😊🥰😊😊🥰😊🥰😊🥰❤️😊❤️😊🥰😊🥰😊🥰😊🥰😊🥰😊🥰😊😊❤️❤️😊😊🥰😊❤️😊❤️😊❤️😊🥰😊❤️😊🥰🥰😊😊❤️❤️😊❤️😊❤️😊❤️😊❤️😊❤️😊😊🥰🥰😊🥰😊🥰😊🥰😊❤️😊🥰😊❤️😊🥰😊🥰,2024-05-26
Mi s-a făcut pielea de găinaț,2024-05-26
Cea mai frumoasă voce❤,2024-05-26
"AI O VOCE DE AUR, EȘTI CEA MAI DIVINĂ CÂNTĂREAȚĂ DIN TOATĂ LUMEA.
TE IUBESCCC!
♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️",2024-05-26
Te ador și nu asculta ce spune lumea că tu i-ai facut saraci pe un live❤❤,2024-05-26
❤❤❤,2024-05-26
❤,2024-05-26
9 min de autotune,2024-05-26
Nu asculta haterii❤❤,2024-05-26
Te ador❤❤. Fii cea dinainte pls. ❤❤❤,2024-05-26
In 9 min cam slabut,2024-05-26
Scuze ca ti-am comentat cand ai facut liveul ala. Dar mi-am dat seama ca e pt hateti.oare ma poti ierta ?ma abonez,2024-05-26
Imi aduce si mie arabu'tau un buchet de-ala de care ai tu sti te lauzi cu el pe toate retelele de socializare?😂,2024-05-26
Angel ❤,2024-05-26
Te ador andreea ești cea mai tare și nu I asculta pe cei care îți dau cu hate ❤❤❤❤❤❤❤❤❤❤❤🥺,2024-05-26
andreea spune i lui abdul sa imi dea si mie o bratara cartier te roaga sora ta,2024-05-26
❤🫶🏻,2024-05-26
"Primaaa
Ce frumos canti❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",2024-05-26
🛐🛐 queen,2024-05-26
Lana Rey❤,2024-05-26
Copyright?,2024-05-27
This  is really good!,2024-05-26
